	iptm	ptm	mean_plddt	mean_pdockq2	mean_plddt_lst	replicate	subunits	phrog
0	0.16	0.25	61.10438492063492	0.01415386848744228	0.27180084008223226	rep_3	9	phrog_10001
0	0.2	0.27	74.34264285714286	0.10620980438348453	0.6529813383857879	rep_1	10	phrog_10001
0	0.19	0.26	70.4933392857143	0.051637955695521306	0.5585546071002734	rep_2	10	phrog_10001
0	0.18	0.25	65.57646428571428	0.02079888208564179	0.3548471320811079	rep_3	10	phrog_10001
0	0.18	0.29	62.47283536585366	0.010589077022166691	0.16156830707701178	rep_1	2	phrog_10002
0	0.18	0.3	64.08004573170732	0.009924408599813786	0.1393796496097433	rep_2	2	phrog_10002
0	0.17	0.29	63.61388719512195	0.009985660970504354	0.1327536394983182	rep_3	2	phrog_10002
0	0.29	0.35	61.71656504065041	0.010140428957099294	0.23743399576304347	rep_1	3	phrog_10002
0	0.27	0.33	63.70893292682926	0.010661426333062232	0.21747318273916139	rep_2	3	phrog_10002
0	0.26	0.33	62.13821138211382	0.010269225715425543	0.1703308127394765	rep_3	3	phrog_10002
0	0.31	0.35	60.67785060975609	0.010208527857132887	0.2661403803166742	rep_1	4	phrog_10002
0	0.29	0.33	62.43256859756097	0.011203631553965858	0.22911257218195163	rep_2	4	phrog_10002
0	0.28	0.33	62.077103658536586	0.011695319395564832	0.25019942211666096	rep_3	4	phrog_10002
0	0.35	0.38	60.755993902439016	0.011274195786663915	0.3147917734455838	rep_1	5	phrog_10002
0	0.34	0.38	64.27461585365853	0.0103110160199039	0.2767269052498972	rep_2	5	phrog_10002
0	0.33	0.36	59.84587195121952	0.009972066622665672	0.23308076377724385	rep_3	5	phrog_10002
0	0.42	0.44	62.51771341463414	0.012242768565184324	0.34088299883002976	rep_1	6	phrog_10002
0	0.39	0.41	64.2389481707317	0.012151584407944324	0.32567860516758895	rep_2	6	phrog_10002
0	0.39	0.42	63.969634146341456	0.009494928393232833	0.2512948881871448	rep_3	6	phrog_10002
0	0.57	0.58	63.83005226480836	0.01576951608953352	0.44789551601956284	rep_1	7	phrog_10002
